"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-01","0.70","44","27"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-02","0.02","40","35"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-03","0.02","37","34"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-04","0.00","42","32"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-05","0.02","38","31"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-06","0.00","38","34"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-07","0.00","39","34"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-08","0.00","34","30"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-09","0.00","35","24"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-10","0.00","32","21"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-11","0.00","29","24"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-12","0.00","41","24"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-13","0.00","47","32"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-14","0.00","47","35"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-15","0.03","46","32"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-16","0.09","36","28"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-17","0.01","36","31"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-18","0.00","34","27"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-19","0.00","39","22"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-20","0.00","36","26"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-21","0.00","48","33"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-22","0.00","36","17"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-23","0.00","33","13"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-24","0.00","33","28"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-25","0.05","35","30"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-26","0.08","38","33"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-27","0.00","33","22"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-28","0.00","31","20"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-29","0.00","35","19"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-30","0.27","36","22"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2021-01-31","0.22","37","30"
