"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-01","0.00",,,,"72","41"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-02","0.49",,,,"54","46"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-03","0.00",,,,"56","39"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-04","0.00",,,,"62","38"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-05","0.00",,,,"67","36"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-06","0.00",,,,"73","41"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-07","0.00",,,,"76","46"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-08","0.00",,,,"81","41"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-09","0.00",,,,"84","49"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-10","0.00",,,,"86","58"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-11","0.00",,,,"85","56"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-12","0.00",,,,"79","48"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-13","0.34",,,,"77","48"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-14","0.00",,,,"64","41"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-15","0.00",,,,"64","42"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-16","0.00",,,,"66","34"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-17","0.00",,,,"72","45"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-18","0.14",,,,"63","39"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-19","0.00",,,,"63","33"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-20","0.00",,,,"67","38"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-21","0.00",,,,"58","35"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-22","0.00",,,,"63","31"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-23","0.00",,,,"71","55"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-24","0.05",,,,"74","61"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-25","0.00",,,,"69","61"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-26","0.69",,,,"74","53"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-27","0.00",,,,"70","49"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-28","0.00",,,,"55","40"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-29","0.00",,,,"50","31"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-30","0.00",,,,"61","35"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-10-31","0.00",,,,"53","29"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-01","0.00",,,,"52","25"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-02","0.00",,,,"49","28"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-03","0.00",,,,"56","22"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-04","0.19",,,,"52","31"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-05","0.06",,,,"42","32"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-06","0.00",,,,"42","23"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-07","0.00",,,,"55","30"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-08","0.00",,,,"69","41"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-09","0.00",,,,"69","35"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-10","0.00",,,,"71","33"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-11","0.00",,,,"75","37"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-12","0.00",,,,"72","39"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-13","0.52",,,,"70","41"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-14","0.00",,,,"47","37"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-15","0.00",,,,"50","30"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-16","0.87",,,,"43","26"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-17","0.00",,,,"49","32"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-18","0.00",,,,"44","30"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-19","0.00",,,,"44","24"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-20","0.00",,,,"43","35"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-21","0.00",,,,"62","38"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-22","0.49",,,,"67","58"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-23","0.56",,,,"59","27"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-24","0.47",,,,"38","23"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-25","1.56",,,,"57","30"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-26","0.00",,,,"33","22"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-27","0.00",,,,"34","22"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-28","0.00",,,,"44","21"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-29","0.19",,,,"54","35"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-11-30","0.26",,,,"56","30"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-01","0.00",,,,"30","23"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-02","0.00",,,,"33","21"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-03","0.00",,,,"34","25"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-04","0.02",,,,"29","21"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-05","0.00",,,,"27","19"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-06","0.00",,,,"20","7"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-07","0.00",,,,"22","8"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-08","0.00",,,,"21","7"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-09","0.01",,,,"30","4"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-10","0.01",,,,"40","28"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-11","0.16",,,,"43","30"
"USW00094895","MUNCIE DELAWARE CO AIRPORT, IN US","2010-12-12","0.06",,,,"40","19"
