"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2011-12-15",,,"0.85",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2011-12-16",,,"0.02",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2011-12-19",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2011-12-20",,,"0.39",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2011-12-21",,,"1.35",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2011-12-22",,,"0.18",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2011-12-27",,,"0.00","0.5",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2011-12-28",,,"0.10","1.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2011-12-29",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2011-12-30",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-04",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-05",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-09",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-10",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-11",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-12",,,"0.40",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-13",,,"0.00","1.5",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-16",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-17",,,"0.98",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-19",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-20",,,"0.00","3.5",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-21",,,"0.00","1.5",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-24",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-25",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-26",,,"0.20","2.5",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-27",,,"0.20",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-30",,,"0.00","0.1",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-01-31",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-01",,,"0.15",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-02",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-03",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-07",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-08",,,"0.00","0.4",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-09",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-10",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-11",,,"0.00","0.8",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-13",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-14",,,"0.00","1.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-15",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-16",,,"0.40",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-17",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-23",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-24",,,"0.15",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-25",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-26",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-27",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-28",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-02-29",,,"0.49",,,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-03-01",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-03-02",,,"0.00","0.0",,,,,
"US1INGR0023","KA9FDN MATTHEWS 0.4 WNW, IN US","2012-03-03",,,"0.50",,,,,,
